Num_expediente,Tipo_accidente
2015S008075,Colisión fronto-lateral
2015S006267,Colisión lateral
2015S001757,Colisión fronto-lateral
2015S004816,Atropello
2015S008202,Colisión fronto-lateral
2015S001604,Colisión fronto-lateral
2015S005067,Colisión lateral
2015S008837,Alcance
2015S003385,Alcance
2015S009352,Alcance
2015S000872,Colisión fronto-lateral
2015S005210,Colisión lateral
2015S003503,Choque contra elemento estático
2015S008145,Colisión lateral
2015S008935,Colisión lateral
2015S008889,Atropello
2015S005823,Alcance
2015S002965,Colisión fronto-lateral
2015S007300,Caída interior vehículo
2015S002440,Colisión lateral
2015S009532,Colisión lateral
2015S007160,Otros
2015S007624,Colisión fronto-lateral
2015S006906,Colisión lateral
2015S003606,Caída (dos ruedas)
2015S009222,Atropello
2015S007387,Otros
2015S001589,Colisión lateral
2015S001742,Alcance
2015S003608,Colisión lateral
2015S004051,Colisión fronto-lateral
2015S001006,Colisión lateral
2015S006943,Alcance
2015S008742,Colisión fronto-lateral
2015S002910,Colisión lateral
2015S009520,Colisión fronto-lateral
2015S002895,Colisión lateral
2015S009430,Colisión fronto-lateral
2015S001969,Colisión fronto-lateral
2015S003912,Colisión lateral
2015S001944,Alcance
2015S005420,Colisión lateral
2015S003730,Colisión lateral
2015S005893,Caída (dos ruedas)
2015S002596,Choque contra elemento estático
2015S001100,Alcance
2015S004632,Colisión lateral
2015S008188,Colisión fronto-lateral
2015S002893,Colisión lateral
2015S007299,Caída (dos ruedas)
2015S009037,Colisión lateral
2015S002993,Colisión lateral
2015S005571,Atropello
2015S002700,Caída interior vehículo
2015S007559,Otros
2015S008610,Colisión lateral
2015S007483,Colisión lateral
2015S000519,Colisión lateral
2015S007777,Caída (dos ruedas)
2015S008530,Alcance
2015S009410,Colisión lateral
2015S003421,Choque contra elemento estático
2015S003421,Alcance
2015S003044,Colisión fronto-lateral
2015S004488,Colisión lateral
2015S003327,Caída (dos ruedas)
2015S002449,Colisión lateral
2015S004139,Alcance
2015S001244,Colisión fronto-lateral
2015S000803,Colisión lateral
2015S006787,Colisión lateral
2015S009588,Alcance
2015S008762,Alcance
2015S008944,Atropello
2015S001103,Otros
2015S007808,Caída (dos ruedas)
2015S005107,Colisión lateral
2015S009137,Colisión lateral
2015S003868,Atropello
2015S008572,Colisión lateral
2015S006656,Atropello
2015S007755,Colisión lateral
2015S007958,Colisión lateral
2015S005932,Choque contra elemento estático
2015S000730,Choque contra elemento estático
2015S003152,Otros
2015S000746,Colisión lateral
2015S004291,Otros
2015S003990,Caída (dos ruedas)
2015S005579,Colisión fronto-lateral
2015S007956,Colisión lateral
2015S003825,Alcance
2015S006739,Choque contra elemento estático
2015S003109,Atropello
2015S001059,Colisión lateral
2015S007875,Atropello
2015S005811,Colisión lateral
