Num_expediente,Tipo_vehiculo,Modelo,Marca,Color,Tipo_carnet,Antiguedad_carnet
2015S005317,Turismo,190,MERCEDES-BENZ,Negro,B,9
2015S005066,Turismo,A3,AUDI,Gris,B,2
2015S001042,Motocicleta,CB 250 TWO FIFTY,HONDA,Negro,Desconocido,Desconocido
2015S004467,Turismo,159,ALFA ROMEO,Negro,B,13
2015S004589,Turismo,206,PEUGEOT,Azul,B,15
2015S006516,Turismo,TOLEDO,SEAT,Gris,B,4
2015S008518,Motocicleta,ZING 125,KYMCO,Negro,B,6
2015S001121,Motocicleta,Vision,HONDA,Blanco,B,13
2015S002339,Furgoneta,TRANSPORTER,VOLKSWAGEN,Rojo,B,20
2015S000309,Turismo,GOLF,VOLKSWAGEN,Plateado,B,0
2015S007861,Turismo,TOLEDO,SEAT,Gris,Desconocido,Desconocido
2015S007972,Motocicleta,ER-6N,KAWASAKI,Negro,A2,1
2015S007770,Motocicleta,FORZA,HONDA,Negro,A,25
2015S007779,Turismo,YARIS,TOYOTA,granate,B,16
2015S006677,Turismo,C4,CITROEN,Gris,B,10
2015S002959,Motocicleta,YP 125,YAMAHA,Gris,B,23
2015S009534,Motocicleta,SCOOPY 125,HONDA,Azul,B,20
2015S000286,Motocicleta,NC 700,HONDA,Rojo,A,19
2015S006057,Turismo,SCENIC,RENAULT,Gris,B,27
2015S004807,Turismo,Desconocido,Desconocido,Negro,Desconocido,Desconocido
2015S000521,Furgoneta,SPRINTER,MERCEDES-BENZ,Amarillo,BTP,9
2015S005208,Taxi,PRIUS,TOYOTA,Negro/Amarillo,BTP,12
2015S005208,Motocicleta,GSX-R 750 I,SUZUKI,Azul,A,7
2015S005037,Bicicleta,Desconocido,Desconocido,Otros,Desconocido,Desconocido
2015S009266,Turismo,GOLF,VOLKSWAGEN,Gris,B,1
2015S006178,Turismo,500,FIAT,Blanco,B,10
2015S004662,Turismo,C3,CITROEN,Gris,B,16
2015S005236,Turismo,ALMERA,NISSAN,Gris,B,29
