Número d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripció dia setmana,Dia setmana,Descripció tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripció torn,Descripció tipus accident,Coordenada UTM (X),Coordenada UTM (Y),Londitud,Latitud
2017S001841    ,2,Eixample,10,Sant Antoni,127704,SEPÚLVEDA / Villarroel                            ,0148 0150,Dilluns,Dl,Laboral,2017,3,Març,6,15,Tarda,Col.lisió lateral,"430098,25","4581667,64","2,162,876","41,381,647"
2017S008948    ,2,Eixample,10,Sant Antoni,127704,Floridablanca / Calàbria                          ,0060 0062,Diumenge,Dg,Laboral,2017,10,Octubre,29,19,Tarda,Col.lisió lateral,"429638,84","4581216,18","2,157,427","41,377,545"
2017S010242    ,2,Eixample,10,Sant Antoni,361406,Viladomat / Sepúlveda                             ,0101 0101,Dilluns,Dl,Laboral,2017,12,Desembre,11,9,Matí,Col.lisió fronto-lateral,"429626,77","4581439,92","2,157,258","41,379,552"
2017S004195    ,2,Eixample,10,Sant Antoni,329902,Tamarit                                           ,0165 0165,Dijous,Dj,Laboral,2017,5,Maig,11,17,Tarda,Caiguda interior vehicle,"429945,38","4581361,69","2,161,081","41,378,878"
2017S004807    ,2,Eixample,10,Sant Antoni,329902,Calàbria / Tamarit                                ,0129 0129,Dijous,Dj,Laboral,2017,6,Juny,1,0,Nit,Col.lisió lateral,"429716,82","4581136,98","2,158,369","41,376,831"
2017S001702    ,2,Eixample,6,la Sagrada Família,350308,VALÈNCIA / Padilla                                ,0528 0528,Dimecres,Dc,Laboral,2017,3,Març,1,18,Tarda,Col.lisió lateral,"431636,91","4584335,18","2,180,966","41,405,809"
2017S001232    ,2,Eixample,7,la Dreta de l'Eixample,176801,GV CORTS CATALANES                                ,0111 0111,Dimarts,Dm,Laboral,2017,2,Febrer,14,16,Tarda,Caiguda (dues rodes),"430278,13","4583260,44","2,164,845","4,139,601"
2017S001383    ,2,Eixample,7,la Dreta de l'Eixample,176801,GV CORTS CATALANES / Pg Gràcia                    ,0117 0117,Diumenge,Dg,Laboral,2017,2,Febrer,19,0,Nit,Atropellament,"430247,50","4583292,07","216,447","41,396,296"
2017S000008    ,2,Eixample,7,la Dreta de l'Eixample,191204,ARAGÓ / Pau Claris                                ,0270 0270,Diumenge,Dg,Laboral,2017,1,Gener,1,10,Matí,Col.lisió lateral,"430197,72","4583116,33","2,163,892","41,394,706"
2017S000221    ,2,Eixample,7,la Dreta de l'Eixample,191204,PAU CLARIS / Aragó                                ,0270 0270,Dimarts,Dm,Laboral,2017,1,Gener,10,13,Matí,Col.lisió lateral,"430197,72","4583116,33","2,163,892","41,394,706"
2017S007551    ,2,Eixample,7,la Dreta de l'Eixample,191204,Mallorca / Roger de Flor                          ,0278 0278,Dimarts,Dm,Laboral,2017,9,Setembre,12,11,Matí,Xoc contra element estàtic,"430294,37","4583211,15","2,165,042","4,139,557"
2017S000046    ,2,Eixample,7,la Dreta de l'Eixample,191204,ROGER DE LLÚRIA / Aragó                           ,0278 0278,Dimarts,Dm,Laboral,2017,1,Gener,3,9,Matí,Col.lisió lateral,"430294,37","4583211,15","2,165,042","4,139,557"
2017S006600    ,2,Eixample,7,la Dreta de l'Eixample,247659,Pau Claris                                        ,0133 0133,Dissabte,Ds,Laboral,2017,7,Juliol,29,11,Matí,Col.lisió lateral,"430370,05","4582974,79","2,165,978","41,393,442"
2017S005586    ,2,Eixample,7,la Dreta de l'Eixample,247659,Rosselló / Pau Claris                             ,9999 9999,Dilluns,Dl,Laboral,2017,6,Juny,26,21,Tarda,Col.lisió fronto-lateral,"430023,88","4583353,85","2,161,784","41,396,826"
2017S000725    ,2,Eixample,7,la Dreta de l'Eixample,289105,PL JOAN CARLES I                                  ,0236 0236,Divendres,Dv,Laboral,2017,1,Gener,27,14,Tarda,Caiguda interior vehicle,"429958,86","4583257,52","2,161,018","41,395,955"
2017S007958    ,2,Eixample,7,la Dreta de l'Eixample,247659,Pau Claris / València                             ,0147 0147,Dimarts,Dm,Laboral,2017,9,Setembre,26,17,Tarda,Col.lisió lateral,"430284,40","4583059,76","216,494","413,942"
2017S009937    ,2,Eixample,7,la Dreta de l'Eixample,359404,Diagonal / Gràcia                                 ,9999 9999,Dimecres,Dc,Laboral,2017,11,Novembre,29,8,Matí,Caiguda (dues rodes),"429831,27","4583317,43","2,159,492","41,396,485"
2017S009842    ,2,Eixample,7,la Dreta de l'Eixample,359404,Gràcia / Diagonal                                 ,9999 9999,Diumenge,Dg,Laboral,2017,11,Novembre,26,8,Matí,Atropellament,"429831,27","4583317,43","2,159,492","41,396,485"
2017S004193    ,2,Eixample,6,la Sagrada Família,350308,València / Cartagena                              ,0530 0530,Dijous,Dj,Laboral,2017,5,Maig,11,17,Tarda,Col.lisió lateral,"431672,70","4584365,25","2,181,394","41,406,082"
